i,source,case,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,active,theta_mean_deg,theta_sigma_deg,speed_count,speed_mean,speed_sigma,speed_rel_sigma,vperp_mean,vperp_sigma,vperp_rel_sigma,vz_mean,vz_sigma,vz_rel_sigma,est_vperp_mean_from_theta_mean,est_vz_mean_from_theta_mean,est_vz_mean_from_theta_normal,est_vperp_sigma_from_theta_sigma_sin,est_vperp_sigma_from_theta_sigma_linear,est_vz_sigma_delta_method,est_vz_sigma_normal_theta,err_vperp_mean_est,err_vperp_sigma_est_sin,err_vperp_sigma_est_linear,err_vz_mean_est,err_vz_sigma_est,err_vz_mean_normal_est,err_vz_sigma_normal_est
1,dt\data\inverse_validation.csv,inverse_validation,3,13.32800000000043,-886.1590576171875,-984.64892578125,986.0494384765625,0.90087890625,-32.74273681640625,-703.77734375,-186.54205322265625,-146.87554931640625,1.0,2.17030409,0.92156365,500,130.607722,0.0259029696,0.000198326478,4.94550141,2.09914391,0.424455225,130.497152,0.081891961,0.0006275383,4.946100662812859,130.51403424253886,130.49715299501997,2.100645812338136,2.100736389789806,0.07955466561107662,0.08304930515707065,-0.0005992528128588859,-0.001501902338135963,-0.001592479789806145,-0.016882242538855508,0.0023372953889233827,-9.950199739705567e-07,-0.0011573441570706527
2,dt\data\inverse_sweep_low_feed_v1\summary.csv,low30,3,13.157000000000153,-978.2626342773438,-758.6083374023438,155.8095703125,11.28887939453125,190.9449462890625,-751.0870361328125,56.9530029296875,-423.714599609375,0.468,2.98794057,1.83483809,234,130.598127,0.0529165449,0.000405186094,6.80212755,4.149784,0.610071476,130.353909,0.492207633,0.00377593304,6.807527509503545,130.4205825209943,130.35372426737317,4.181555160193071,4.1822699671542765,0.21800402890596757,0.23751320042048538,-0.005399959503544771,-0.03177116019307036,-0.032485967154276096,-0.0666735209942999,0.27420360409403244,0.00018473262682050517,0.25469443257951463
3,dt\data\inverse_sweep_dense_v1\summary.csv,t80,3,14.45300000000043,-725.8046264648438,-972.4874267578125,861.940185546875,-36.98095703125,-62.17132568359375,-733.4087524414062,-330.6578369140625,-104.9603271484375,0.742,3.43948279,1.50354016,371,130.61397,0.0313127046,0.000239734729,7.83330241,3.41946899,0.436529679,130.33382,0.228192814,0.00175083347,7.836087323901914,130.37869800934922,130.33381451303697,3.4271426728385377,3.427536042287287,0.20563245825224014,0.21513547450377185,-0.0027849139019142655,-0.007673682838537754,-0.008067052287286991,-0.04487800934921893,0.022560355747759858,5.486963033263237e-06,0.013057339496228143
4,dt\data\inverse_sweep_low_feed_v2\summary.csv,low25,3,12.391000000000531,-668.8519287109375,-857.4080810546875,788.070556640625,80.5391845703125,-144.97235107421875,-884.1095581054688,144.4530029296875,-25.72412109375,0.346,3.7642899,2.4810428,173,130.610181,0.0581359835,0.000445110657,8.56405419,5.60799477,0.654829436,130.206555,0.69507321,0.00533823514,8.5748194725621,130.32840002035525,130.2062682237492,5.653962488106843,5.65572982740826,0.3713099689802178,0.40916658764119823,-0.010765282562099188,-0.045967718106842526,-0.047735057408259784,-0.12184502035523792,0.3237632410197822,0.000286776250817411,0.28590662235880177
5,dt\data\inverse_sweep_low_feed_v1\summary.csv,low45,10,12.45300000000043,-684.4912109375,-715.6951904296875,931.1036376953125,-191.24951171875,-149.90985107421875,-925.5726318359375,-379.0213623046875,-139.54547119140625,0.458,4.75092012,2.51676277,229,130.611525,0.0974370374,0.000746006429,10.8060993,5.70442515,0.527889388,130.03737,0.59161072,0.00454954386,10.81779656702175,130.1627663360769,130.03725394649263,5.735370519024899,5.7372153105599715,0.4751803341308532,0.5067914634202844,-0.011697267021750335,-0.030945369024899527,-0.03279016055997186,-0.12539633607690348,0.11643038586914684,0.00011605350738363995,0.08481925657971567
6,dt\data\inverse_sweep_dense_v1\summary.csv,t55,1,12.5,-858.6875610351562,-999.9828491210938,884.3880615234375,-86.1807861328125,-94.30426025390625,-756.1221923828125,-405.17498779296875,-263.71881103515625,0.48,4.99942845,1.5699007,240,130.61855,0.0678346998,0.000519334351,11.3782378,3.56172853,0.31302989,130.072822,0.347663192,0.002672835,11.382858723407246,130.12162053780858,130.0727848780531,3.578492127342962,3.578939929269383,0.31188960216167233,0.3193277060943263,-0.004620923407244959,-0.01676359734296229,-0.017211399269382976,-0.04879853780857957,0.03577358983832768,3.7121946888873936e-05,0.028335485905673696
7,dt\data\inverse_sweep_low_feed_v1\summary.csv,low45,8,13.092999999999847,-856.0359497070312,-999.8948974609375,784.62841796875,-81.8555908203125,-36.474853515625,-698.5345458984375,293.736083984375,-406.96551513671875,0.466,5.1801043,2.82846983,233,130.620909,0.11152537,0.000853809474,11.7783296,6.411111,0.544314109,129.929035,0.669976622,0.00515648116,11.793338451888351,130.08742843236428,129.92901259362714,6.445627577787983,6.448246335304985,0.5821912589308379,0.6230987389480889,-0.01500885188835177,-0.03451657778798278,-0.03713533530498481,-0.15839343236427794,0.08778536306916207,2.240637286377023e-05,0.046877883051911096
8,dt\data\inverse_sweep_low_feed_v1\summary.csv,low50,3,13.32800000000043,-679.576416015625,-716.8362426757812,912.234130859375,-188.7403564453125,-149.5914306640625,-943.3228149414062,-328.06170654296875,-111.01824951171875,0.526,5.24150212,2.5336959,263,130.613548,0.0892658185,0.000683434606,11.9190011,5.73581024,0.481232462,129.94041,0.65921272,0.00507319255,11.932060120173063,130.0673858522454,129.94027289363524,5.774023247611555,5.775905552982152,0.5276516361581761,0.5569168184800828,-0.013059020173063374,-0.03821300761155477,-0.04009531298215219,-0.12697585224537988,0.13156108384182386,0.0001371063647752635,0.10229590151991719
9,dt\data\inverse_sweep_dense_v1\summary.csv,t60,1,12.375,-868.47021484375,-999.9710083007812,935.2513427734375,-86.5618896484375,-85.0916748046875,-750.5114135742188,25.150146484375,-414.58282470703125,0.56,5.21229231,2.41305861,280,130.622249,0.0675120636,0.000516849649,11.8558533,5.47251824,0.461587885,129.966782,0.54977205,0.00423009664,11.866539715163245,130.08211702231193,129.9668021003759,5.4996366785911635,5.501262837955537,0.4997690244190408,0.5252599994099691,-0.010686415163245755,-0.02711843859116314,-0.0287445979555363,-0.11533502231193893,0.05000302558095915,-2.0100375905940382e-05,0.02451205059003081
10,dt\data\inverse_sweep_low_feed_v2\summary.csv,low40b,9,13.905999999999949,-829.9036254882812,-991.0001831054688,870.4617919921875,-93.073974609375,-36.58966064453125,-679.8289794921875,282.7232666015625,-483.2669677734375,0.314,5.49790621,2.54411188,157,130.60017,0.142023045,0.00108746447,12.4978617,5.75462138,0.460448477,129.871571,0.698262962,0.00537656515,12.512720945480142,129.99937006989472,129.8712773790347,5.797150757108901,5.799056175702339,0.5556039603449723,0.5838416501246152,-0.014859245480142391,-0.04252937710890148,-0.044434795702339436,-0.12779906989473488,0.14265900165502776,0.0002936209652943944,0.11442131187538485
11,dt\data\inverse_sweep_low_feed_v2\summary.csv,low40b,10,12.188000000000102,-594.249267578125,-761.2120971679688,939.3126220703125,-15.25860595703125,60.4659423828125,-486.8450927734375,-766.8348388671875,195.324462890625,0.304,5.42690681,3.55745213,152,130.627979,0.107562005,0.000823422408,12.3240483,8.0140396,0.65027655,129.792814,1.18282498,0.00911317773,12.35424969103155,130.0424600359286,129.7920397232793,8.10538343758127,8.110593591366358,0.7670661303748738,0.8433903244179483,-0.030201391031550173,-0.09134383758127029,-0.096553991366358,-0.24964603592860612,0.4157588496251261,0.0007742767207048473,0.33943465558205166
12,dt\data\inverse_sweep_low_feed_v2\summary.csv,low25,11,12.859000000000378,-955.2763671875,-610.5103149414062,658.7960205078125,100.8970947265625,106.5479736328125,-760.537841796875,262.982666015625,-195.386474609375,0.266,6.32085561,2.92306803,133,130.659627,0.0679328864,0.00051992255,14.3604295,6.53452706,0.455037021,129.697644,1.2417429,0.00957413616,14.385115970188398,129.86534012700756,129.6964464917815,6.6629920477658615,6.665883276938741,0.733887782968363,0.7708228312617437,-0.024686470188397536,-0.12846498776586124,-0.131356216938741,-0.16769612700755943,0.507855117031637,0.0011975082184960684,0.4709200687382563
13,dt\data\inverse_sweep_low_feed_v2\summary.csv,low30b,9,13.70300000000043,-823.6542358398438,-859.475830078125,417.5224609375,44.6219482421875,39.1160888671875,-959.7603149414062,-46.8546142578125,-512.9560546875,0.358,6.85770447,3.88104028,179,130.63132,0.117752732,0.00090141271,15.5638883,8.77117812,0.563559564,129.399105,1.12216784,0.00867214532,15.597896439531796,129.69675166172837,129.39954942974038,8.841799666229672,8.848564746969013,1.0565536393700572,1.1346598777861134,-0.03400813953179593,-0.0706215462296722,-0.07738662696901244,-0.29764666172837906,0.06561420062994272,-0.0004444297403836117,-0.012492037786113519
14,dt\data\inverse_sweep_low_feed_v2\summary.csv,low25,1,13.07799999999952,-920.859130859375,-605.2371826171875,93.151611328125,-34.17132568359375,53.2384033203125,-729.0425415039062,-46.84051513671875,-786.306640625,0.286,7.99769655,4.11196846,143,130.616111,0.238307639,0.00182448885,18.1035648,9.03139854,0.498874041,129.018739,2.34202874,0.0181526246,18.173049160533033,129.34569469825104,129.0130219912155,9.365932368025517,9.373977164883945,1.3042322768831327,1.383135556566371,-0.06948436053303197,-0.334533828025517,-0.3425786248839451,-0.32695569825102666,1.0377964631168672,0.005717008784500877,0.958893183433629
15,dt\data\inverse_sweep_low_feed_v2\summary.csv,low35b,7,12.233999999999469,-939.0582275390625,-787.392578125,322.8797607421875,93.36474609375,252.00341796875,-438.67742919921875,177.2254638671875,-128.72747802734375,0.258,8.39631982,3.79356806,129,130.607591,0.135531395,0.00103769921,19.024604,8.50734618,0.447175993,128.925548,1.50131678,0.0116448354,19.071253312648764,129.2077014883713,128.9248014393926,8.641244841165477,8.64756164977236,1.2627125077251866,1.3218124491543388,-0.04664931264876415,-0.13389866116547644,-0.1402154697723592,-0.28215348837130705,0.2386042722748134,0.0007465606073822073,0.1795043308456612
16,dt\data\inverse_sweep_low_feed_v2\summary.csv,low30b,10,12.125,-872.1163330078125,-782.625732421875,371.2451171875,83.039306640625,246.80615234375,-431.87078857421875,180.7247314453125,-99.2618408203125,0.132,11.5116157,3.55247819,66,130.623016,0.0404855041,0.00030994158,26.0214499,7.9524075,0.3056097,127.748863,1.49846217,0.0117297496,26.06799022083082,127.99543817958094,127.74964787452683,8.093757709616096,8.09894584549754,1.6162790261975593,1.6501317286676906,-0.04654032083081816,-0.14135020961609612,-0.14653834549753952,-0.24657517958094388,-0.11781685619755922,-0.0007848745268290713,-0.1516695586676906
