number,value,datetime_start,datetime_complete,duration,params_V10,params_V11,params_V12,params_V9,system_attrs_cma:generation,system_attrs_cma:optimizer:0,system_attrs_cma:optimizer:1,system_attrs_fixed_params,state
0,44.0,2026-07-01 17:04:08.763307,2026-07-01 17:05:21.298854,0 days 00:01:12.535547,-120.8837277215239,17.899315501859178,-753.9672166555655,903.7629499753857,,,,"{'V9': 903.7629499753857, 'V10': -120.8837277215239, 'V11': 17.899315501859178, 'V12': -753.9672166555655}",COMPLETE
1,0.0,2026-07-01 17:05:21.601406,2026-07-01 17:06:15.097382,0 days 00:00:53.495976,-7.392854038512581,23.199394181140505,-740.1341515802964,793.6350297118406,,,,,COMPLETE
2,0.0,2026-07-01 17:06:15.362687,2026-07-01 17:07:07.991851,0 days 00:00:52.629164,-126.6008219495696,-44.19163878318005,-713.3823854225064,739.0046601106092,,,,,COMPLETE
3,0.0,2026-07-01 17:07:08.196837,2026-07-01 17:07:58.930514,0 days 00:00:50.733677,-43.78911333059318,-47.94155057041976,-703.0090147838006,850.2787529358022,,,,,COMPLETE
4,17.0,2026-07-01 17:07:59.202785,2026-07-01 17:08:54.712085,0 days 00:00:55.509300,-118.14913339825858,-31.817503279289937,-781.6595490146566,908.1106602001055,,,,,COMPLETE
5,2.0,2026-07-01 17:08:54.960121,2026-07-01 17:09:49.491474,0 days 00:00:54.531353,-71.28653525516432,-6.805498135788426,-770.8770859801958,776.0605607398844,,,,,COMPLETE
6,1.0,2026-07-01 17:09:49.802379,2026-07-01 17:10:45.600210,0 days 00:00:55.797831,-129.07592090219373,-20.785535146478185,-763.3638156706309,852.9632236805949,,,,,COMPLETE
7,0.0,2026-07-01 17:10:45.889278,2026-07-01 17:11:37.792416,0 days 00:00:51.903138,-32.22360579104796,-30.032621784164025,-748.5765561586388,814.017496054259,,,,,COMPLETE
8,8.0,2026-07-01 17:11:38.049004,2026-07-01 17:12:27.471537,0 days 00:00:49.422533,-143.03243809200035,10.75448519014384,-782.9475876312708,848.1036422155106,,,,,COMPLETE
9,0.0,2026-07-01 17:12:27.760874,2026-07-01 17:13:21.045146,0 days 00:00:53.284272,-7.667169412000021,46.563203307455936,-719.1602651883538,716.2628982463199,,,,,COMPLETE
10,2.0,2026-07-01 17:13:21.250601,2026-07-01 17:14:16.669379,0 days 00:00:55.418778,-68.99976523194724,-0.6479505598197193,-760.0518090769085,808.8555055134076,0.0,,,,COMPLETE
11,3.0,2026-07-01 17:14:16.902967,2026-07-01 17:15:09.998481,0 days 00:00:53.095514,-79.87083358026949,-15.206072858652888,-752.533825507661,779.1004190279143,0.0,,,,COMPLETE
12,0.0,2026-07-01 17:15:10.193839,2026-07-01 17:15:59.792212,0 days 00:00:49.598373,-71.05251628197038,-11.183027378233959,-733.2381371989848,894.103121955751,0.0,,,,COMPLETE
13,8.0,2026-07-01 17:15:59.976813,2026-07-01 17:16:48.772337,0 days 00:00:48.795524,-86.56006484417387,-11.14553865016672,-748.1297382095177,747.5928926428362,0.0,,,,COMPLETE
14,0.0,2026-07-01 17:16:49.034670,2026-07-01 17:17:38.070464,0 days 00:00:49.035794,-70.77424244107934,0.3789608536133855,-773.7431318349272,841.3776192855621,0.0,,,,COMPLETE
15,3.0,2026-07-01 17:17:38.317962,2026-07-01 17:18:27.249725,0 days 00:00:48.931763,-90.55048089051269,-0.8951666945942947,-780.1041377808567,804.8180233405733,0.0,,,,COMPLETE
16,5.0,2026-07-01 17:18:27.478745,2026-07-01 17:19:15.547660,0 days 00:00:48.068915,-129.96123259464113,-3.4299227269676535,-767.0511694582838,868.0721264160726,0.0,,,,COMPLETE
17,7.0,2026-07-01 17:19:15.790457,2026-07-01 17:20:05.810466,0 days 00:00:50.020009,-96.97675991680858,-3.4764605500539503,-748.2844962315521,805.127395371754,0.0,,,,COMPLETE
18,5.0,2026-07-01 17:20:06.076813,2026-07-01 17:20:54.969390,0 days 00:00:48.892577,-88.30108830625633,-22.138997400586458,-761.5592673798817,756.0852825417594,1.0,800495a5070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b0885946811894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0485946811894320e91e137210d6f0bf1adfbd8221cde3bfa45851f953eeb4bfb7c37725bff5f4bf947494628c035f706394682f68314b008594683387945294284b014b048594681189432062f9a9d3f048f2bf75d5d2035381e5bfc0d7d21068bbb6bf22b6f3a876c3f6bf947494628c055f6d65616e94682f68314b008594683387945294284b014b0485946811894320ed217b6d5945d73fb49f28a1e5ddda3fc78691a65d52df3f2e2acfbd0122d53f947494628c055f635f316494682f68314b008594683387945294284b014b0a859468118943508f84bbad53f0f13f12b32e2e9dbeb13f21c06a25ef4fa93fc8ba08d00f00be3f7690c67d7a74f03f3197603b5d2f993ff0f66d75a4fbc03fedf99ed51abee63f6030252f8062afbf67ce7300d1aaf13f947494628c065f7369676d6194680b68114308bdfa7047dd0cc53f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468118943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b018c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f62657,4615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014b044b01869468118943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468118943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468118942900100001cc999e50c560000000000000000000000000000000020c000000000000000805320747269616c735f747269616c5f6964200a46524f4d20747269616c73204a4f494e20747269616c5f76616c756573204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f0000000000009474946275622e,,COMPLETE
19,0.0,2026-07-01 17:20:55.201662,2026-07-01 17:21:44.077453,0 days 00:00:48.875791,-38.95631446166935,2.985716896880618,-756.3753545173024,771.2701372573199,1.0,,,,COMPLETE
20,2.0,2026-07-01 17:21:44.346998,2026-07-01 17:22:32.561365,0 days 00:00:48.214367,-133.27545708674938,-15.214926109328196,-762.0917367622565,799.5037522245742,1.0,,,,COMPLETE
21,42.0,2026-07-01 17:22:32.818430,2026-07-01 17:23:24.206454,0 days 00:00:51.388024,-104.80459833343053,25.701726422570786,-746.5963005351034,750.5627372832437,1.0,,,,COMPLETE
22,14.0,2026-07-01 17:23:24.520590,2026-07-01 17:24:12.881501,0 days 00:00:48.360911,-101.35724276588184,6.52624820644823,-749.89111052041,798.4653389304361,1.0,,,,COMPLETE
23,23.0,2026-07-01 17:24:13.128035,2026-07-01 17:25:02.864660,0 days 00:00:49.736625,-91.0575926843988,-3.0996635060127176,-747.4273460793033,862.243176148969,1.0,,,,COMPLETE
24,0.0,2026-07-01 17:25:03.142014,2026-07-01 17:25:55.576372,0 days 00:00:52.434358,-143.21710345409096,-13.611032119967916,-782.3677012797151,825.4505360721234,1.0,,,,COMPLETE
25,1.0,2026-07-01 17:25:55.835436,2026-07-01 17:26:43.381928,0 days 00:00:47.546492,-114.47776716108528,-5.18988532273665,-746.9787860236709,716.5803835941844,1.0,,,,COMPLETE
26,6.0,2026-07-01 17:26:43.623819,2026-07-01 17:27:42.808559,0 days 00:00:59.184740,-113.0573963632633,-15.401258343140881,-755.8728712473857,779.0630513842788,2.0,800495c7070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b088594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b00749462894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0485946811894320994de507b1ffecbf58dd723f4da6f33ff81fc525f556cd3ff10cd654a7fde4bf947494628c035f706394682f68314b008594683387945294284b014b0485946811894320da23ebe58ff7e9bf94b8fd704ad7f63ffc3ea1c3a362cc3f2c0a6f6bf152debf947494628c055f6d65616e94682f68314b008594683387945294284b014b0485946839894320695895f82676d53f9fe342d85214e43fc266682ef4a9e03f34a1c35658ecd63f947494628c065f7369676d6194680b68114308fae05c287669c43f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468398943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b028c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014,b044b01869468398943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468398943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468398942900100001cc999e50c560000000000000000000000000000000020c0000000000000008000000000000045c0000000000000008064200a46524f4d20747269616c73204a4f494e20747269616c5f76616c756573204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0a85946811894350247f0e1dec0aed3fb4fbb529bce0b5bf2886c025d3339cbfea8d8ee279dec63f01b719c37642f43fb41a6ec3c1bfa93fbb91e7ecbabab43f7670dfb9763de43f2c02ea8e382c87bf9ae6e68dbf47f13f9474946275622e,,COMPLETE
27,14.0,2026-07-01 17:27:43.058800,2026-07-01 17:28:34.771519,0 days 00:00:51.712719,-88.94196785200091,7.410767574510842,-753.021687074348,837.1876083294928,2.0,,,,COMPLETE
28,6.0,2026-07-01 17:28:35.047327,2026-07-01 17:29:24.861673,0 days 00:00:49.814346,-107.9821866794751,-29.278103625724366,-754.5494356660104,751.9527879044742,2.0,,,,COMPLETE
29,2.0,2026-07-01 17:29:25.124668,2026-07-01 17:30:23.057638,0 days 00:00:57.932970,-60.628294617995124,9.814144843161543,-734.8573737745071,801.7605911973592,2.0,,,,COMPLETE
30,2.0,2026-07-01 17:30:23.338130,2026-07-01 17:31:14.271532,0 days 00:00:50.933402,-69.96360857323214,-5.3534284746313645,-734.2390110787933,816.6637272273509,2.0,,,,COMPLETE
31,11.0,2026-07-01 17:31:14.546666,2026-07-01 17:32:06.272052,0 days 00:00:51.725386,-85.06383693728483,16.488002009186033,-761.1089250493842,829.0613234586997,2.0,,,,COMPLETE
32,54.0,2026-07-01 17:32:06.520900,2026-07-01 17:32:58.578970,0 days 00:00:52.058070,-120.69647841327262,15.562508451602426,-752.9505086534076,767.1520929667804,2.0,,,,COMPLETE
33,6.0,2026-07-01 17:32:58.828976,2026-07-01 17:33:51.527409,0 days 00:00:52.698433,-105.7126058015424,10.480857252519172,-739.0782891656207,846.733346830417,2.0,,,,COMPLETE
34,2.0,2026-07-01 17:33:51.862090,2026-07-01 17:34:44.152269,0 days 00:00:52.290179,-122.04019376014739,9.04651389354617,-745.9080432490616,799.943356216455,3.0,800495c7070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b088594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b00749462894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b0485946811894320aebc32a41c83eebfb0a6544d0de2e53f58781baa6c41e0bf0c895a1d2787c2bf947494628c035f706394682f68314b008594683387945294284b014b0485946811894320d40adcf87728e9bf5edc534b86f8e43f9fabea7b8b64dcbf603ea6874cc57b3f947494628c055f6d65616e94682f68314b008594683387945294284b014b04859468398943205568b5e956aed23f2447cdc7a6dde33f8acfc7076f46dd3faadc3c1d45b4d83f947494628c065f7369676d6194680b681143083faf692228a9c23f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468398943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b038c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014,b044b01869468398943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468398943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468398942900100001cc999e50c560000000000000000000000000000000020c0000000000000008000000000000045c000000000000000800000000000004bc000000000000000c04f494e20747269616c5f76616c756573204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0a85946811894350ed4a756f40dee93f929f7e61c79dabbf087ed9882b0cb8bf5f8848e26f56c43ff09fd7e16d4af33fa0a678ff9dfcb33f91328cb3681dbb3f1fbdcf1fbbc4e23f6e689feb2b2db5bffff078676f45f03f9474946275622e,,COMPLETE
35,8.0,2026-07-01 17:34:44.431404,2026-07-01 17:35:38.539177,0 days 00:00:54.107773,-81.90519526762259,1.88858950608698,-749.9301946632207,778.3434866669504,3.0,,,,COMPLETE
36,0.0,2026-07-01 17:35:38.809997,2026-07-01 17:36:29.887941,0 days 00:00:51.077944,-128.1921194904105,1.5873387303688062,-755.8543238047704,747.0521855242205,3.0,,,,COMPLETE
37,44.0,2026-07-01 17:36:30.130533,2026-07-01 17:37:25.601493,0 days 00:00:55.470960,-92.21572590949046,33.37039095946088,-747.679033776657,751.753358122352,3.0,,,,COMPLETE
38,0.0,2026-07-01 17:37:25.861123,2026-07-01 17:38:20.713925,0 days 00:00:54.852802,-61.40319749691028,-5.283838276711684,-758.4200184408231,745.0783441334528,3.0,,,,COMPLETE
39,1.0,2026-07-01 17:38:20.982625,2026-07-01 17:39:10.236863,0 days 00:00:49.254238,-107.23618016253681,13.790503869089612,-764.6270208301846,859.7049217810453,3.0,,,,COMPLETE
40,15.0,2026-07-01 17:39:10.506727,2026-07-01 17:40:01.778857,0 days 00:00:51.272130,-94.10911632278305,6.8754893242449455,-746.5958041777726,787.274885551816,3.0,,,,COMPLETE
41,13.0,2026-07-01 17:40:02.052342,2026-07-01 17:40:55.587231,0 days 00:00:53.534889,-82.84965206183705,11.38366617171279,-756.1864859762578,757.2244581986101,3.0,,,,COMPLETE
42,13.0,2026-07-01 17:40:55.809639,2026-07-01 17:41:51.650470,0 days 00:00:55.840831,-92.64040470540888,3.32076818755894,-753.9531752772374,744.7855967328942,4.0,800495c7070000000000008c0a636d6165732e5f636d61948c03434d419493942981947d94288c065f6e5f64696d944b048c085f706f7073697a65944b088c035f6d75944b048c075f6d755f656666948c156e756d70792e636f72652e6d756c74696172726179948c067363616c61729493948c056e756d7079948c0564747970659493948c02663894898887945294284b038c013c944e4e4e4affffffff4affffffff4b00749462430820436f8e2acd044094869452948c035f636394680b68114308000000000000e03f94869452948c035f633194680b6811430862115f01d0aeb03f94869452948c045f636d7594680b6811430815282f55d11faa3f94869452948c085f635f7369676d6194680b6811430830ce38804161d93f94869452948c085f645f7369676d6194680b681143088c330e605058f63f94869452948c035f636d944b018c065f6368695f6e94473ffe1861861861868c085f776569676874739468098c0c5f7265636f6e737472756374949394680c8c076e6461727261799493944b0085944301629487945294284b014b088594680e8c02663894898887945294284b0368124e4e4e4affffffff4affffffff4b00749462894340c0fc6f2530f5e03f922449922449d23f912449922449c23f1c7d92cd463fa53fcb8b860adec6c5bf6f2cafd2f5baddbfd4e62ed098d4e6bf6f2cafd2f5baedbf947494628c085f705f7369676d6194682f68314b008594683387945294284b014b04859468118943205ad9b37ad06de33f326319f9d19ff33f6175729f7954d33f4831c0917ba0f5bf947494628c035f706394682f68314b008594683387945294284b014b0485946811894320d1cdf9bbbe88e23f880c92cc1c74f33fa683eb21db01d43ffcc3c3d02000f4bf947494628c055f6d65616e94682f68314b008594683387945294284b014b048594683989432078b12971602dd93f40a4272b3dd5e63f37fc06dc456ce03fc4b926f95e54d03f947494628c065f7369676d6194680b6811430892b894ed1bd9c23f94869452948c025f44944e8c025f42944e8c075f626f756e647394682f68314b008594683387945294284b014b044b02869468398943400000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f0000000000000000000000000000f03f947494628c115f6e5f6d61785f726573616d706c696e67944b288c025f67944b048c095f6c725f616461707494898c065f616c70686194473ff66666666666668c0a5f626574615f6d65616e94473fb999999999999a8c0b5f626574615f5369676d6194473f9eb851eb851eb88c065f67616d6d6194473fb999999999999a8c065f456d65616e94682f68314b008594683387945294284b014,b044b01869468398943200000000000000000000000000000000000000000000000000000000000000000947494628c075f455369676d6194682f68314b008594683387945294284b014b104b01869468398943800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000947494628c065f566d65616e944700000000000000008c075f565369676d61944700000000000000008c095f6574615f6d65616e94473ff00000000000008c0a5f6574615f5369676d6194473ff00000000000008c055f746f6c7894680b6811430816383daccc74473d94869452948c075f746f6c787570944740c38800000000008c075f746f6c66756e94473d719799812dea118c105f746f6c636f6e646974696f6e636f76944742d6bcc41e9000008c0d5f66756e686973745f7465726d944b198c0f5f66756e686973745f76616c75657394682f68314b008594683387945294284b014b32859468398942900100001cc999e50c560000000000000000000000000000000020c0000000000000008000000000000045c000000000000000800000000000004bc000000000000000c000000000000046c00000000000000080204f4e20747269616c732e747269616c5f6964203d20747269616c5f76616c7565732e747269616c5f6964200a574845524520747269616c732e73747564795f6964203d203f20414e4420747269616c732e7374617465203d203f20414e4420747269616c5f76616c7565732e6f626a656374697665203d203f204f524445522042592043415345205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f205748454e2028747269616c5f76616c7565732e76616c75655f74797065203d203f29205448454e203f20454e4420444553432c20747269616c5f76616c7565732e76616c756520444553430a204c494d4954203f204f4646534554203f000000000000947494628c055f635f316494682f68314b008594683387945294284b014b0a8594681189435068893537c3a3e63f2c139dfd585f993f0daf7c1c3d11abbf5cfccd80a111b43ff91eb1d62feaf43f1a543a7dfbb7bc3f50bb445553eebfbf55d945b43b83e23f99bbf46f431dbcbfce2d23bc21ddee3f9474946275622e,,COMPLETE
43,7.0,2026-07-01 17:41:51.995631,2026-07-01 17:42:44.407665,0 days 00:00:52.412034,-99.29944075138943,8.517328659346568,-731.2108091063408,721.3471256510811,4.0,,,,COMPLETE
44,0.0,2026-07-01 17:42:44.692260,2026-07-01 17:43:37.771623,0 days 00:00:53.079363,-66.63138269903953,8.190106394523099,-788.4618345390247,768.0468010179635,4.0,,,,COMPLETE
45,45.0,2026-07-01 17:43:38.034224,2026-07-01 17:44:29.743249,0 days 00:00:51.709025,-79.04796494001158,42.965050267544314,-746.8195001643699,771.8107796727004,4.0,,,,COMPLETE
46,12.0,2026-07-01 17:44:30.027682,2026-07-01 17:45:23.972837,0 days 00:00:53.945155,-92.95124290900237,4.97514486993029,-753.2940972560176,769.8494215093665,4.0,,,,COMPLETE
47,5.0,2026-07-01 17:45:24.241412,2026-07-01 17:46:16.322326,0 days 00:00:52.080914,-117.23612055007659,8.314531676383375,-757.6783739093518,746.8159969692865,4.0,,,,COMPLETE
48,3.0,2026-07-01 17:46:16.581012,2026-07-01 17:47:08.779772,0 days 00:00:52.198760,-105.30402609966983,17.157542023915283,-739.5202541542643,730.0765728647017,4.0,,,,COMPLETE
49,10.0,2026-07-01 17:47:09.009913,2026-07-01 17:48:00.583841,0 days 00:00:51.573928,-103.64717037961478,25.499670849963238,-734.7697549303621,724.4242922886597,4.0,,,,COMPLETE
